country_name,Year,Sex,Age,n
Australia,2001,Male,75-79 years,171.0
Australia,2001,Male,80-84 years,91.0
Australia,2001,Male,85-89 years,69.0
Australia,2001,Male,90-94 years,35.0
Australia,2001,Male,95+ years,7.0
Australia,2001,Male,All ages,948.0
Australia,2001,Male,Unspecified,0.0
Australia,2001,Female,0 years,0.0
Australia,2001,Female,1 years,0.0
Australia,2001,Female,10-14 years,0.0
Australia,2001,Female,15-19 years,1.0
Australia,2001,Female,2 years,0.0
Australia,2001,Female,20-24 years,4.0
Australia,2001,Female,25-29 years,8.0
Australia,2001,Female,3 years,0.0
Australia,2001,Female,30-34 years,10.0
Australia,2001,Female,35-39 years,7.0
Australia,2001,Female,4 years,0.0
Australia,2001,Female,40-44 years,18.0
Australia,2001,Female,45-49 years,21.0
Australia,2001,Female,5-9 years,0.0
Australia,2001,Female,50-54 years,29.0
Australia,2001,Female,55-59 years,36.0
Australia,2001,Female,60-64 years,33.0
Australia,2001,Female,65-69 years,45.0
Australia,2001,Female,70-74 years,53.0
Australia,2001,Female,75-79 years,68.0
Australia,2001,Female,80-84 years,77.0
Australia,2001,Female,85-89 years,54.0
Australia,2001,Female,90-94 years,37.0
Australia,2001,Female,95+ years,12.0
Australia,2001,Female,All ages,513.0
Australia,2001,Female,Unspecified,0.0
Australia,2002,Male,0 years,0.0
Australia,2002,Male,1 years,0.0
Australia,2002,Male,10-14 years,0.0
Australia,2002,Male,15-19 years,1.0
Australia,2002,Male,2 years,0.0
Australia,2002,Male,20-24 years,5.0
Australia,2002,Male,25-29 years,5.0
Australia,2002,Male,3 years,0.0
Australia,2002,Male,30-34 years,11.0
Australia,2002,Male,35-39 years,16.0
Australia,2002,Male,4 years,0.0
Australia,2002,Male,40-44 years,36.0
Australia,2002,Male,45-49 years,40.0
Australia,2002,Male,5-9 years,0.0
Australia,2002,Male,50-54 years,51.0
Australia,2002,Male,55-59 years,86.0
Australia,2002,Male,60-64 years,86.0
Australia,2002,Male,65-69 years,106.0
Australia,2002,Male,70-74 years,140.0
Australia,2002,Male,75-79 years,151.0
Australia,2002,Male,80-84 years,130.0
Australia,2002,Male,85-89 years,99.0
Australia,2002,Male,90-94 years,32.0
Australia,2002,Male,95+ years,5.0
Australia,2002,Male,All ages,1001.0
Australia,2002,Male,Unspecified,1.0
Australia,2002,Female,0 years,0.0
Australia,2002,Female,1 years,0.0
Australia,2002,Female,10-14 years,0.0
Australia,2002,Female,15-19 years,0.0
Australia,2002,Female,2 years,0.0
Australia,2002,Female,20-24 years,2.0
Australia,2002,Female,25-29 years,2.0
Australia,2002,Female,3 years,0.0
Australia,2002,Female,30-34 years,8.0
Australia,2002,Female,35-39 years,9.0
Australia,2002,Female,4 years,0.0
Australia,2002,Female,40-44 years,20.0
Australia,2002,Female,45-49 years,18.0
Australia,2002,Female,5-9 years,0.0
Australia,2002,Female,50-54 years,25.0
Australia,2002,Female,55-59 years,26.0
Australia,2002,Female,60-64 years,21.0
Australia,2002,Female,65-69 years,29.0
Australia,2002,Female,70-74 years,56.0
Australia,2002,Female,75-79 years,65.0
Australia,2002,Female,80-84 years,79.0
Australia,2002,Female,85-89 years,53.0
Australia,2002,Female,90-94 years,36.0
Australia,2002,Female,95+ years,16.0
Australia,2002,Female,All ages,466.0
Australia,2002,Female,Unspecified,1.0
Australia,2003,Male,0 years,0.0
Australia,2003,Male,1 years,0.0
Australia,2003,Male,10-14 years,0.0
Australia,2003,Male,15-19 years,2.0
Australia,2003,Male,2 years,0.0
Australia,2003,Male,20-24 years,2.0
Australia,2003,Male,25-29 years,6.0
Australia,2003,Male,3 years,0.0
Australia,2003,Male,30-34 years,5.0
Australia,2003,Male,35-39 years,19.0
Australia,2003,Male,4 years,0.0
Australia,2003,Male,40-44 years,32.0
Australia,2003,Male,45-49 years,49.0
Australia,2003,Male,5-9 years,0.0
Australia,2003,Male,50-54 years,60.0
Australia,2003,Male,55-59 years,83.0
Australia,2003,Male,60-64 years,85.0
Australia,2003,Male,65-69 years,123.0
Australia,2003,Male,70-74 years,126.0
Australia,2003,Male,75-79 years,149.0
Australia,2003,Male,80-84 years,149.0
Australia,2003,Male,85-89 years,99.0
Australia,2003,Male,90-94 years,30.0
Australia,2003,Male,95+ years,3.0
Australia,2003,Male,All ages,1022.0
Australia,2003,Male,Unspecified,0.0
Australia,2003,Female,0 years,0.0
Australia,2003,Female,1 years,0.0
Australia,2003,Female,10-14 years,0.0
Australia,2003,Female,15-19 years,0.0
Australia,2003,Female,2 years,0.0
Australia,2003,Female,20-24 years,1.0
Australia,2003,Female,25-29 years,4.0
Australia,2003,Female,3 years,0.0
Australia,2003,Female,30-34 years,6.0
Australia,2003,Female,35-39 years,9.0
Australia,2003,Female,4 years,0.0
Australia,2003,Female,40-44 years,16.0
Australia,2003,Female,45-49 years,30.0
Australia,2003,Female,5-9 years,0.0
Australia,2003,Female,50-54 years,26.0
Australia,2003,Female,55-59 years,24.0
Australia,2003,Female,60-64 years,40.0
Australia,2003,Female,65-69 years,48.0
Australia,2003,Female,70-74 years,42.0
Australia,2003,Female,75-79 years,71.0
Australia,2003,Female,80-84 years,78.0
Australia,2003,Female,85-89 years,58.0
Australia,2003,Female,90-94 years,39.0
Australia,2003,Female,95+ years,21.0
Australia,2003,Female,All ages,513.0
Australia,2003,Female,Unspecified,0.0
Australia,2004,Male,0 years,0.0
Australia,2004,Male,1 years,0.0
Australia,2004,Male,10-14 years,0.0
Australia,2004,Male,15-19 years,0.0
Australia,2004,Male,2 years,0.0
Australia,2004,Male,20-24 years,6.0
Australia,2004,Male,25-29 years,5.0
Australia,2004,Male,3 years,0.0
Australia,2004,Male,30-34 years,13.0
Australia,2004,Male,35-39 years,16.0
Australia,2004,Male,4 years,0.0
Australia,2004,Male,40-44 years,27.0
Australia,2004,Male,45-49 years,46.0
Australia,2004,Male,5-9 years,0.0
Australia,2004,Male,50-54 years,82.0
Australia,2004,Male,55-59 years,90.0
Australia,2004,Male,60-64 years,82.0
Australia,2004,Male,65-69 years,109.0
Australia,2004,Male,70-74 years,117.0
Australia,2004,Male,75-79 years,174.0
Australia,2004,Male,80-84 years,158.0
Australia,2004,Male,85-89 years,99.0
Australia,2004,Male,90-94 years,39.0
Australia,2004,Male,95+ years,3.0
Australia,2004,Male,All ages,1066.0
Australia,2004,Male,Unspecified,0.0
Australia,2004,Female,0 years,0.0
Australia,2004,Female,1 years,0.0
Australia,2004,Female,10-14 years,1.0
Australia,2004,Female,15-19 years,0.0
Australia,2004,Female,2 years,0.0
Australia,2004,Female,20-24 years,3.0
Australia,2004,Female,25-29 years,3.0
Australia,2004,Female,3 years,0.0
Australia,2004,Female,30-34 years,10.0
Australia,2004,Female,35-39 years,10.0
Australia,2004,Female,4 years,0.0
Australia,2004,Female,40-44 years,16.0
Australia,2004,Female,45-49 years,27.0
Australia,2004,Female,5-9 years,0.0
Australia,2004,Female,50-54 years,20.0
Australia,2004,Female,55-59 years,31.0
Australia,2004,Female,60-64 years,35.0
Australia,2004,Female,65-69 years,38.0
Australia,2004,Female,70-74 years,48.0
Australia,2004,Female,75-79 years,61.0
Australia,2004,Female,80-84 years,75.0
Australia,2004,Female,85-89 years,57.0
Australia,2004,Female,90-94 years,43.0
